Cell_ID,Region,Site_Name,Timestamp,PRB_Usage_Pct,Drop_Rate_Pct,Throughput_Mbps,Status
KTB-0101,강남구,테헤란로_01_gNB,2026-03-01 14:00,88.5,3.2,450,과부하
KTB-0102,서초구,서초대로_04_gNB,2026-03-01 14:00,62.1,0.4,820,정상
KTB-0103,송파구,잠실역_02_gNB,2026-03-01 14:00,91.2,4.1,380,과부하
KTB-0104,영등포구,여의도_05_gNB,2026-03-01 14:00,75.3,1.2,690,정상
KTB-0105,종로구,광화문_01_gNB,2026-03-01 14:00,84.8,2.8,510,주의
KTB-0106,중구,명동_03_gNB,2026-03-01 14:00,89.9,3.9,420,과부하
KTB-0107,마포구,홍대입구_02_gNB,2026-03-01 14:00,86.4,2.5,490,주의
KTB-0108,성동구,성수동_01_gNB,2026-03-01 14:00,68.0,0.8,770,정상
KTB-0109,용산구,용산역_04_gNB,2026-03-01 14:00,93.5,5.0,310,위험
KTB-0110,분당구,판교역_01_gNB,2026-03-01 14:00,87.2,2.9,480,주의
